order_id,branch_id,branch_name,city,menu_id,menu_name,category,quantity,price,cogs,revenue,margin,order_date,month,margin_pct
1,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,5,18000,8000,90000,50000,2024-05-05,2024-05,55.55555555555556
2,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,2,22000,9000,44000,26000,2024-12-12,2024-12,59.09090909090909
3,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,10,18000,8000,180000,100000,2024-08-04,2024-08,55.55555555555556
4,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,2,18000,8000,36000,20000,2024-04-21,2024-04,55.55555555555556
5,2,Gacoan Malang Sulfat,Malang,5,Es Teh Jumbo,Minuman,10,8000,3000,80000,50000,2024-01-14,2024-01,62.5
6,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,9,22000,9000,198000,117000,2024-08-02,2024-08,59.09090909090909
7,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,10,15000,7000,150000,80000,2024-05-22,2024-05,53.333333333333336
8,1,Gacoan Malang Soekarno Hatta,Malang,2,Mie Setan,Mie,7,22000,9000,154000,91000,2024-06-23,2024-06,59.09090909090909
9,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,4,22000,9000,88000,52000,2024-06-21,2024-06,59.09090909090909
10,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,7,18000,8000,126000,70000,2024-02-19,2024-02,55.55555555555556
11,3,Gacoan Surabaya Gubeng,Surabaya,3,Mie Iblis,Mie,10,25000,10000,250000,150000,2024-05-15,2024-05,60.0
12,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,9,15000,7000,135000,72000,2024-03-04,2024-03,53.333333333333336
13,4,Gacoan Surabaya Darmo,Surabaya,1,Mie Hompimpa,Mie,9,18000,8000,162000,90000,2024-05-30,2024-05,55.55555555555556
14,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,10,25000,10000,250000,150000,2024-04-08,2024-04,60.0
15,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,4,18000,8000,72000,40000,2024-05-28,2024-05,55.55555555555556
